ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntMeatProducts,NumWebPurchases
9422,1989,Graduation,Married,38360.0,31-05-2013,26,36,42,2
1966,1965,PhD,Married,84618.0,22-11-2013,96,684,801,6
6864,1989,Master,Divorced,10979.0,22-05-2014,34,8,10,3
3033,1963,Master,Together,38620.0,11-05-2013,56,112,44,2
5710,1970,Graduation,Together,40548.0,10-10-2012,31,110,5,2
7373,1952,PhD,Divorced,46610.0,29-10-2012,8,96,96,4
8755,1946,Master,Married,68657.0,20-02-2013,4,482,471,3
10738,1951,Master,Single,49389.0,29-08-2013,55,40,19,2
4339,1970,PhD,Married,67353.0,31-12-2013,37,702,151,5
10755,1976,2n Cycle,Married,23718.0,02-09-2013,76,6,14,3
8595,1973,Graduation,Widow,42429.0,11-02-2014,99,55,6,1
2968,1943,PhD,Divorced,48948.0,01-02-2013,53,437,206,7
8601,1980,Graduation,Married,80011.0,29-04-2013,3,421,536,8
503,1985,Master,Married,20559.0,12-03-2013,88,13,29,2
8430,1957,Graduation,Together,21994.0,24-12-2012,4,9,6,0
7281,1959,PhD,Single,,05-11-2013,80,81,50,1
2139,1975,Master,Married,7500.0,02-10-2013,19,3,10,2
1371,1976,Graduation,Single,79941.0,28-06-2014,72,123,266,2
9909,1996,2n Cycle,Married,7500.0,09-11-2012,24,3,14,3
7286,1968,Graduation,Together,41728.0,24-05-2013,92,13,15,2
7244,1951,Graduation,Single,,01-01-2014,96,48,48,2
6566,1954,PhD,Married,72550.0,08-11-2012,39,826,317,5
8614,1957,Graduation,Widow,65486.0,12-05-2014,29,245,125,4
4114,1964,Master,Married,79143.0,11-08-2012,2,650,780,6
1331,1977,Graduation,Single,35790.0,02-01-2013,54,12,20,2
2225,1977,Graduation,Divorced,82582.0,07-06-2014,54,510,550,4
9381,1978,Graduation,Married,66373.0,12-06-2013,57,328,124,4
6260,1955,Master,Together,82384.0,19-11-2012,55,984,432,3
10383,1966,Graduation,Divorced,70287.0,02-04-2013,30,295,482,5
7437,1988,Graduation,Single,27938.0,28-04-2014,31,13,8,1
8557,1982,Graduation,Single,,17-06-2013,57,11,22,2
8375,1968,PhD,Married,55954.0,03-03-2014,63,447,28,8
6853,1982,Master,Single,75777.0,04-07-2013,12,712,538,3
3076,1975,Graduation,Together,66653.0,07-09-2012,18,452,102,4
1012,1952,Graduation,Single,61823.0,18-02-2013,26,523,134,8
6518,1951,PhD,Widow,67680.0,11-06-2013,8,546,48,7
4137,1948,Graduation,Together,70666.0,06-12-2013,29,398,367,7
8082,1971,Graduation,Married,25721.0,21-05-2013,75,1,6,1
1386,1967,Graduation,Together,32474.0,11-05-2014,0,10,1,1
9369,1979,2n Cycle,Single,88194.0,19-03-2014,19,688,309,11
4477,1958,Graduation,Together,69096.0,27-09-2013,4,247,159,5
1357,1970,Graduation,Together,74854.0,08-04-2013,90,856,487,2
1402,1954,Master,Married,66991.0,11-09-2012,1,496,460,4
10629,1973,2n Cycle,Married,,14-09-2012,25,25,43,3
6312,1959,Graduation,Married,65031.0,17-03-2013,29,258,291,10
8132,1975,PhD,Married,60631.0,05-04-2013,88,565,65,9
1050,1952,Graduation,Married,28332.0,30-04-2014,58,14,13,2
5846,1977,Graduation,Divorced,40246.0,19-12-2012,68,2,6,1
1859,1972,Master,Married,75251.0,27-08-2012,34,721,925,7
7503,1976,Graduation,Single,75825.0,12-10-2012,40,1032,779,5
10401,1976,2n Cycle,Together,26326.0,04-09-2013,12,1,5,0
1618,1965,Graduation,Together,56046.0,02-01-2013,9,577,64,10
3332,1985,Graduation,Single,29760.0,29-08-2012,87,64,68,3
2261,1969,Graduation,Married,26304.0,23-06-2013,5,4,5,1
5346,1973,2n Cycle,Married,23559.0,03-07-2013,87,25,19,3
4119,1963,Master,Together,38620.0,11-05-2013,56,112,44,2
535,1987,Graduation,Divorced,81361.0,25-02-2014,18,163,424,3
5268,1960,Graduation,Married,29440.0,11-08-2013,95,17,14,1
273,1970,Master,Married,36138.0,16-07-2013,48,130,16,3
4452,1957,Graduation,Single,50388.0,28-05-2014,3,292,37,6
8504,1973,Graduation,Married,79593.0,12-05-2014,70,350,568,5
771,1967,Graduation,Together,54178.0,21-01-2014,79,135,39,2
8996,1957,PhD,Married,,19-11-2012,4,230,192,7
9235,1957,Graduation,Single,,27-05-2014,45,7,8,1
5798,1973,Master,Together,,23-11-2013,87,445,359,2
11178,1972,Master,Single,42394.0,23-03-2014,69,15,10,1
2230,1970,PhD,Married,23626.0,24-05-2014,84,27,14,3
7516,1983,Graduation,Married,30096.0,22-05-2014,30,5,11,2
7247,1960,Graduation,Widow,47916.0,22-11-2012,72,505,26,7
11100,1972,Graduation,Divorced,51813.0,11-04-2013,37,51,7,2
4646,1951,2n Cycle,Married,78497.0,01-12-2013,44,207,447,5
3037,1983,PhD,Married,50150.0,20-06-2013,32,135,92,5
1473,1960,2n Cycle,Single,47823.0,23-07-2013,0,53,5,2
1016,1959,PhD,Single,34554.0,30-03-2014,43,41,6,2
4518,1979,Graduation,Together,85693.0,20-04-2013,59,386,183,9
9370,1945,PhD,Married,65846.0,17-05-2013,68,562,276,6
8908,1959,Graduation,Married,87195.0,08-05-2014,35,217,690,3
8373,1979,Basic,Together,24594.0,10-12-2013,94,1,6,1
7533,1964,Graduation,Married,49096.0,24-09-2013,15,144,32,4
2683,1969,Graduation,Married,52413.0,02-02-2013,56,295,271,6
3629,1978,Graduation,Single,38557.0,19-12-2012,17,76,31,3
10991,1960,Master,Married,89058.0,07-12-2012,18,454,106,5
5077,1979,Graduation,Together,77298.0,02-11-2013,46,425,292,6
7431,1991,PhD,Single,68126.0,10-11-2012,40,1332,311,7
3267,1963,Master,Together,57288.0,25-06-2014,27,527,21,8
999,1991,Graduation,Single,86037.0,02-01-2013,95,490,125,6
9215,1980,PhD,Married,43974.0,12-12-2012,19,378,101,6
2286,1962,Graduation,Single,50785.0,10-09-2013,27,64,21,2
1592,1970,Graduation,Married,90765.0,24-01-2014,25,547,812,4
367,1978,2n Cycle,Married,36550.0,19-02-2013,74,47,94,9
5234,1967,2n Cycle,Together,30753.0,11-07-2013,85,12,25,1
9862,1969,Graduation,Together,21918.0,14-11-2013,37,1,7,2
9805,1953,Master,Together,56129.0,20-06-2013,65,320,133,6
6205,1967,Master,Single,32557.0,24-02-2014,13,34,29,2
8442,1985,Master,Married,19510.0,04-09-2013,63,9,7,1
7386,1976,Graduation,Divorced,30992.0,22-04-2013,83,17,14,1
7215,1983,Graduation,Single,101970.0,12-03-2013,69,722,102,6
1491,1965,2n Cycle,Together,71488.0,18-02-2013,87,162,124,3
11071,1984,Graduation,Single,79607.0,21-04-2013,37,450,951,3
3381,1953,Master,Married,54348.0,08-06-2014,51,70,16,2
8268,1961,PhD,Married,,11-07-2013,23,352,27,6
11051,1956,PhD,Together,77376.0,10-05-2014,72,492,110,6
8026,1952,Graduation,Married,62998.0,30-09-2013,10,120,73,5
433,1958,Master,Alone,61331.0,10-03-2013,42,534,47,11
9597,1969,Graduation,Married,73448.0,10-02-2014,10,236,189,7
1295,1963,Graduation,Married,,11-08-2013,96,231,196,6
5290,1964,PhD,Married,41551.0,14-08-2013,51,220,33,5
1685,1967,PhD,Together,62981.0,17-03-2013,21,796,590,4
5342,1976,Basic,Divorced,9548.0,08-08-2012,31,0,3,1
9579,1959,PhD,Married,33762.0,07-07-2013,61,53,34,2
7660,1973,PhD,Alone,35860.0,19-05-2014,37,15,8,1
1461,1965,PhD,Divorced,36921.0,28-07-2013,74,17,12,2
821,1992,Master,Single,92859.0,19-10-2012,46,962,921,5
11084,1976,Master,Together,65104.0,14-11-2013,4,738,232,3
8690,1962,Graduation,Married,86111.0,19-04-2013,73,399,756,5
2937,1974,PhD,Single,68352.0,28-08-2013,47,614,132,8
9701,1988,Graduation,Together,41883.0,19-03-2013,13,32,41,4
9949,1976,Graduation,Married,59809.0,18-10-2012,36,598,141,3
10837,1975,Graduation,Married,23957.0,28-10-2012,47,2,18,2
3120,1981,Graduation,Together,38547.0,28-08-2013,49,6,10,1
5885,1973,2n Cycle,Married,35688.0,22-08-2012,94,73,90,4
4050,1966,Master,Married,49605.0,21-06-2014,65,42,29,2
3830,1953,Master,Married,59354.0,24-04-2014,59,295,78,4
7987,1969,Graduation,Married,65747.0,07-03-2014,96,346,48,8
7798,1972,2n Cycle,Together,46344.0,14-12-2012,28,233,57,7
92,1988,Graduation,Alone,34176.0,12-05-2014,12,5,24,3
7055,1952,PhD,Together,61010.0,09-10-2012,57,888,57,8
10240,1949,Graduation,Together,69372.0,19-02-2013,10,997,269,10
3025,1958,Graduation,Single,49967.0,08-07-2013,4,212,69,6
9283,1978,Graduation,Single,60199.0,12-09-2013,49,8,7,0
9970,1977,Graduation,Together,55375.0,17-10-2013,3,42,57,1
2730,1955,Graduation,Single,80317.0,20-08-2013,64,536,387,3
2795,1958,Master,Single,30523.0,01-07-2013,0,5,3,1
9260,1945,PhD,Married,70356.0,05-11-2012,20,1349,249,10
8182,1984,Graduation,Married,23228.0,05-01-2014,91,53,49,3
10095,1975,PhD,Divorced,74165.0,01-05-2013,9,1001,240,5
8475,1973,PhD,Married,157243.0,01-03-2014,98,20,1582,0
4370,1966,Graduation,Together,43482.0,13-11-2013,83,18,32,2
10573,1953,Graduation,Divorced,62551.0,18-11-2013,27,125,98,6
3712,1959,Graduation,Divorced,52332.0,28-08-2013,63,212,33,3
6637,1988,Graduation,Single,66951.0,02-11-2013,46,277,305,3
3152,1957,Graduation,Together,26091.0,25-02-2014,84,15,19,2
5610,1965,Graduation,Together,33456.0,21-04-2014,58,7,10,1
6460,1982,Graduation,Married,28718.0,13-07-2013,78,12,6,2
1349,1970,Graduation,Married,50447.0,21-04-2014,4,85,24,3
1880,1959,PhD,Together,53537.0,30-01-2014,17,81,6,2
641,1967,Graduation,Single,52074.0,04-04-2014,77,59,12,2
8717,1975,PhD,Married,80427.0,12-09-2012,56,1149,449,11
10314,1948,PhD,Married,83837.0,16-12-2012,79,847,119,9
10854,1970,PhD,Married,38853.0,23-05-2014,90,29,14,2
10492,1959,Graduation,Together,38285.0,24-06-2014,96,2,5,0
6935,1951,2n Cycle,Married,78497.0,01-12-2013,44,207,447,5
7698,1976,PhD,Married,51650.0,11-05-2014,81,152,22,4
3559,1988,2n Cycle,Married,16248.0,10-05-2014,77,12,10,2
10562,1946,Master,Married,66835.0,28-09-2013,21,620,195,6
10796,1984,Master,Married,30477.0,22-01-2014,16,47,6,1
2563,1961,Basic,Married,28249.0,15-06-2014,80,1,7,2
3518,1983,Graduation,Married,25271.0,05-12-2012,45,10,18,1
5823,1970,PhD,Single,32303.0,08-03-2014,63,35,2,1
3934,1966,Graduation,Married,61286.0,02-08-2013,34,356,107,7
6982,1976,Graduation,Married,74068.0,19-03-2013,14,783,537,4
6431,1964,PhD,Married,45759.0,23-02-2013,13,42,18,2
9733,1978,Basic,Together,24882.0,09-09-2012,52,1,10,1
5602,1989,PhD,Together,66973.0,17-05-2013,98,466,432,8
7829,1900,2n Cycle,Divorced,36640.0,26-09-2013,99,15,8,2
1324,1988,Graduation,Married,38872.0,30-05-2013,93,23,21,3
326,1973,Graduation,Married,51148.0,18-02-2013,38,235,45,5
7224,1977,Graduation,Married,31353.0,29-12-2013,24,10,10,1
6999,1980,Master,Married,69661.0,13-05-2014,80,656,106,7
9938,1954,Graduation,Married,80067.0,19-09-2013,82,519,813,4
6422,1954,Graduation,Married,86718.0,17-01-2013,20,344,482,5
3182,1973,PhD,Single,46854.0,31-03-2014,81,96,79,5
7300,1952,Graduation,Divorced,69142.0,29-06-2014,50,448,34,8
10424,1968,Graduation,Single,75922.0,09-12-2013,60,265,553,4
8727,1978,Graduation,Divorced,63693.0,14-10-2013,63,587,337,11
2798,1977,PhD,Together,102160.0,02-11-2012,54,763,138,7
1030,1965,PhD,Single,40637.0,17-07-2013,72,22,13,1
624,1984,Master,Single,18890.0,10-11-2012,5,6,1,0
5176,1988,Graduation,Together,29604.0,08-12-2013,88,7,13,1
5552,1963,Master,Divorced,48721.0,13-05-2013,50,81,113,4
868,1966,Graduation,Married,44794.0,08-06-2014,99,54,7,2
380,1954,Graduation,Divorced,64497.0,10-09-2012,17,1170,320,11
2677,1956,Graduation,Together,46097.0,31-03-2013,11,72,68,3
6521,1954,Graduation,Together,77972.0,18-03-2014,18,613,319,4
6927,1968,PhD,Married,44377.0,05-10-2012,70,224,30,5
2877,1974,Master,Together,46014.0,21-01-2013,21,410,59,7
0,1985,Graduation,Married,70951.0,04-05-2013,66,239,554,3
1584,1977,Graduation,Married,41443.0,01-04-2014,79,171,171,8
7264,1978,2n Cycle,Single,52195.0,12-05-2014,2,12,4,1
6274,1948,Master,Married,83790.0,15-11-2013,81,1076,417,8
1377,1954,Master,Widow,44551.0,31-08-2013,24,182,33,4
454,1980,Graduation,Together,69508.0,14-11-2012,48,824,162,11
1755,1988,2n Cycle,Together,45204.0,11-04-2014,93,30,25,1
2075,1969,Graduation,Married,72460.0,14-11-2013,56,377,540,3
4785,1970,PhD,Together,77622.0,14-04-2014,3,520,154,6
9076,1980,PhD,Married,30732.0,05-01-2013,44,155,25,4
7079,1962,Graduation,Divorced,63887.0,08-09-2012,38,897,207,9
4653,1978,Graduation,Together,42011.0,26-03-2013,46,131,16,3
7375,1976,Graduation,Together,51369.0,25-10-2012,84,297,79,8
709,1952,Graduation,Divorced,51537.0,09-12-2012,27,787,204,2
460,1972,PhD,Married,79930.0,08-08-2012,72,792,740,3
3726,1986,PhD,Together,34320.0,16-02-2014,66,4,9,1
6798,1966,Graduation,Single,37070.0,20-03-2013,30,231,137,5
5341,1962,2n Cycle,Divorced,81975.0,05-01-2013,2,983,184,6
1606,1971,Graduation,Together,38590.0,15-05-2013,65,3,8,1
9617,1951,Graduation,Single,15033.0,16-04-2014,37,0,5,1
3233,1965,PhD,Married,62745.0,23-03-2013,89,562,464,7
89,1975,2n Cycle,Married,22212.0,09-12-2013,49,5,20,2
2936,1982,Master,Together,23661.0,04-12-2013,46,18,4,1
9449,1958,PhD,Single,79761.0,04-10-2013,32,415,124,5
7297,1973,Graduation,Single,7500.0,26-12-2013,54,5,10,3
11004,1893,2n Cycle,Single,60182.0,17-05-2014,23,8,5,1
313,1968,Graduation,Widow,73455.0,28-10-2013,98,901,757,6
9940,1958,Graduation,Together,64961.0,23-12-2012,97,382,276,6
10735,1971,Graduation,Single,22804.0,31-07-2013,75,14,7,2
9529,1990,Graduation,Married,73687.0,28-11-2013,8,559,503,3
6439,1958,Graduation,Married,61074.0,17-08-2012,37,789,133,11
7411,1964,PhD,Married,31686.0,05-06-2014,31,11,5,1
2176,1972,Graduation,Married,80134.0,20-05-2013,40,1218,272,5
9265,1953,Graduation,Married,75027.0,09-01-2013,74,925,179,9
8867,1988,PhD,Married,67546.0,31-08-2012,90,864,768,4
8932,1969,Master,Together,65176.0,29-10-2012,57,960,183,9
10236,1975,Master,Single,31160.0,16-09-2013,59,16,25,2
6340,1985,Graduation,Single,29938.0,27-10-2013,52,3,7,1
10089,1974,Graduation,Divorced,102692.0,05-04-2013,5,168,444,6
2227,1958,2n Cycle,Together,26490.0,22-09-2012,92,45,52,3
10992,1967,Graduation,Together,75702.0,29-08-2012,77,650,353,4
5304,1974,PhD,Single,30899.0,13-10-2012,35,24,8,1
309,1961,PhD,Together,63342.0,16-10-2012,48,918,118,8
3406,1964,Graduation,Single,45989.0,22-10-2012,97,138,87,3
2661,1964,Graduation,Single,18701.0,04-06-2013,95,12,2,2
3153,1957,PhD,Single,40737.0,08-12-2013,24,11,4,1
10264,1979,Graduation,Divorced,15287.0,10-10-2012,60,1,8,1
1184,1968,PhD,Divorced,69674.0,22-05-2013,46,554,215,10
4200,1970,Master,Married,44159.0,17-06-2014,85,167,62,4
9396,1978,PhD,Married,37717.0,23-11-2012,31,9,6,1
2387,1952,Master,Together,43776.0,03-02-2013,9,177,71,5
6690,1966,Master,Married,38179.0,14-03-2013,30,38,22,3
1225,1963,Graduation,Married,80124.0,26-06-2014,47,483,398,3
9703,1970,PhD,Married,38097.0,15-10-2012,70,77,35,3
291,1970,Graduation,Married,72940.0,19-06-2013,13,182,298,3
4557,1970,Graduation,Together,22070.0,04-10-2013,11,10,19,2
2379,1953,Graduation,Single,69267.0,22-09-2012,31,778,499,3
5726,1983,Master,Single,31788.0,20-03-2014,15,16,23,3
3066,1975,PhD,Together,61905.0,04-02-2014,2,167,43,4
6336,1960,Graduation,Married,29315.0,06-04-2014,55,13,14,2
10967,1963,Graduation,Divorced,33378.0,06-02-2013,38,33,40,2
2304,1963,PhD,Together,66313.0,16-09-2013,86,625,99,6
3445,1956,Graduation,Single,60714.0,17-01-2013,56,216,224,7
7828,1981,Master,Together,77882.0,30-04-2014,29,68,396,3
3762,1986,PhD,Single,69867.0,02-04-2013,30,196,512,3
4391,1968,Master,Divorced,63841.0,21-04-2013,64,635,100,9
4669,1981,Basic,Married,24480.0,11-02-2013,46,4,9,3
10144,1976,Graduation,Together,51369.0,25-10-2012,84,297,79,8
8652,1946,Graduation,Together,37760.0,31-08-2012,20,84,38,4
1672,1974,PhD,Together,65640.0,01-03-2014,74,204,149,5
8962,1975,Master,Married,44319.0,17-04-2014,18,26,8,2
9974,1974,Graduation,Married,30631.0,12-07-2013,75,15,20,3
10983,1952,Graduation,Together,75278.0,29-01-2013,17,304,230,6
8148,1956,Master,Together,50898.0,08-01-2013,88,285,242,6
10102,1966,Graduation,Widow,79946.0,12-05-2014,19,395,565,5
4697,1949,Master,Divorced,35416.0,13-06-2013,62,248,81,7
9262,1984,2n Cycle,Together,32414.0,04-07-2013,11,20,5,1
7254,1969,Graduation,Together,38361.0,27-12-2013,74,39,56,3
4543,1980,Graduation,Married,82497.0,31-10-2012,32,777,573,2
4927,1971,Graduation,Together,16626.0,15-01-2014,76,8,22,3
10451,1965,Graduation,Together,29672.0,12-03-2013,6,9,3,0
2926,1952,Master,Together,55951.0,23-08-2012,62,1241,80,3
2874,1988,2n Cycle,Divorced,35388.0,07-03-2013,20,6,7,1
9738,1986,Master,Together,42386.0,13-01-2013,43,65,16,3
7119,1982,Graduation,Single,68627.0,12-01-2013,45,395,263,2
3924,1965,PhD,Divorced,57912.0,17-03-2014,34,801,80,8
5827,1958,Graduation,Divorced,35246.0,16-04-2014,53,36,12,3
5596,1956,2n Cycle,Together,58821.0,12-10-2013,44,513,154,9
10812,1978,PhD,Married,46377.0,01-03-2014,89,37,46,2
1717,1988,Graduation,Single,39747.0,13-04-2014,43,80,93,5
9491,1984,Graduation,Together,23976.0,27-12-2013,68,14,21,3
9274,1961,Master,Married,80950.0,28-03-2013,44,525,112,6
6609,1966,Graduation,Widow,27038.0,18-09-2012,64,1,25,3
6963,1947,Graduation,Single,77457.0,05-03-2014,85,675,400,2
4440,1964,Master,Married,64100.0,10-09-2013,93,509,27,8
1379,1992,Master,Together,42670.0,27-04-2013,12,154,46,4
10032,1976,Graduation,Divorced,12571.0,18-01-2014,86,3,14,3
2826,1967,Graduation,Married,22574.0,28-10-2013,28,25,8,2
2437,1989,Graduation,Married,,03-06-2013,69,861,461,6
6320,1976,Master,Single,70893.0,06-02-2013,42,768,561,6
3050,1966,Graduation,Married,54198.0,17-12-2013,13,185,28,3
231,1956,Master,Together,28839.0,11-03-2014,86,24,7,2
2392,1972,Graduation,Married,40321.0,29-07-2013,59,44,21,3
9478,1985,Graduation,Single,66503.0,14-08-2012,30,91,128,4
113,1951,Graduation,Married,30833.0,16-07-2013,33,11,7,1
2863,1970,Graduation,Single,,23-08-2013,67,738,172,2
1802,1971,Graduation,Married,64795.0,17-01-2013,23,412,119,3
520,1974,Graduation,Married,34421.0,01-07-2013,81,3,7,1
8275,1965,PhD,Divorced,47025.0,09-02-2014,6,16,3,1
9750,1961,PhD,Divorced,64325.0,07-02-2013,41,731,353,10
2607,1953,Graduation,Single,40464.0,11-01-2013,78,424,118,8
7214,1957,Graduation,Married,62187.0,05-07-2013,49,792,275,4
5835,1976,PhD,Divorced,14849.0,02-07-2013,39,21,28,2
3896,1984,Graduation,Married,27255.0,07-11-2013,3,22,11,1
10350,1950,PhD,Married,54432.0,09-05-2013,37,33,5,1
7786,1986,PhD,Single,29999.0,13-02-2013,22,68,59,3
2861,1983,Graduation,Single,24072.0,16-04-2013,79,9,6,1
663,1989,PhD,Single,33996.0,11-09-2013,46,40,15,1
10675,1956,PhD,Married,66334.0,03-04-2013,82,909,218,9
2521,1971,Master,Married,35178.0,10-01-2013,10,23,13,1
9592,1983,Graduation,Together,22010.0,30-06-2013,51,11,9,2
10151,1960,Graduation,Divorced,62204.0,12-09-2012,38,317,247,4
7381,1968,Graduation,Divorced,75693.0,06-12-2012,10,797,293,11
4099,1972,Graduation,Married,30675.0,12-11-2012,14,10,16,1
9560,1965,Graduation,Together,83003.0,03-03-2013,18,856,570,7
1150,1899,PhD,Together,83532.0,26-09-2013,36,755,562,4
10172,1988,Graduation,Single,68655.0,10-08-2012,95,456,832,4
11191,1986,Graduation,Divorced,41411.0,07-12-2013,11,37,38,2
9707,1969,PhD,Married,55212.0,23-11-2012,65,1103,45,4
6245,1950,PhD,Together,59292.0,13-06-2013,71,378,68,3
8234,1973,Basic,Together,27190.0,15-08-2013,13,1,7,1
1411,1952,Graduation,Divorced,82623.0,10-11-2013,58,204,204,2
8553,1965,Graduation,Married,44300.0,23-06-2013,65,30,9,1
1826,1970,Graduation,Divorced,84835.0,16-06-2014,0,189,379,4
8842,1971,Graduation,Widow,30372.0,25-12-2012,33,15,12,2
11030,1976,Master,Married,33181.0,03-01-2014,90,9,3,1
2579,1957,Graduation,Married,71113.0,17-12-2013,95,495,255,6
175,1986,Graduation,Married,71952.0,10-01-2013,93,656,455,8
9185,1966,PhD,Single,69759.0,28-10-2013,38,452,514,4
11056,1974,Graduation,Married,72099.0,27-10-2012,18,546,410,3
9365,1976,PhD,Single,60000.0,22-12-2012,57,1048,217,11
6201,1978,Graduation,Single,38643.0,29-11-2013,45,22,14,2
2061,1955,Graduation,Married,50737.0,11-05-2013,61,78,11,2
6184,1969,PhD,Married,68462.0,12-12-2012,6,561,785,3
6142,1943,Master,Married,65073.0,20-08-2013,65,629,177,5
4107,1948,PhD,Together,46681.0,08-10-2013,52,269,69,4
7274,1957,Graduation,Married,78618.0,28-09-2012,87,736,818,4
9336,1969,PhD,Widow,62187.0,22-03-2014,38,512,83,6
2958,1978,Graduation,Married,28442.0,24-02-2014,53,19,10,2
933,1978,PhD,Married,37717.0,23-11-2012,31,9,6,1
5837,1967,Graduation,Married,51479.0,28-12-2012,67,247,160,6
10704,1969,Graduation,Single,54803.0,21-08-2012,65,404,92,6
5125,1960,Graduation,Married,79530.0,17-05-2013,64,333,815,4
4432,1976,Graduation,Divorced,31615.0,16-03-2013,82,2,20,2
5955,1962,Graduation,Together,72025.0,17-11-2012,27,833,549,4
2928,1975,PhD,Single,52614.0,01-12-2012,63,789,142,2
5680,1984,2n Cycle,Married,35684.0,22-04-2014,66,10,7,1
10313,1975,Graduation,Married,48178.0,28-10-2012,69,159,45,5
2557,1970,Master,Single,29548.0,29-08-2013,52,7,6,1
1245,1966,Graduation,Single,63810.0,11-11-2012,45,977,253,4
1519,1972,PhD,Single,38578.0,22-06-2013,2,38,22,3
10703,1975,Master,Single,46098.0,18-08-2012,86,57,27,3
1726,1970,Graduation,Single,22585.0,18-03-2013,23,3,15,1
4459,1989,Graduation,Single,30279.0,30-12-2012,13,10,14,1
1729,1961,PhD,Together,66426.0,02-10-2013,14,1043,97,3
1517,1969,Graduation,Single,30822.0,14-06-2013,92,3,13,1
2098,1969,PhD,Married,33581.0,08-01-2013,38,11,5,1
9543,1985,Graduation,Married,19986.0,14-11-2013,74,3,5,0
6878,1954,Graduation,Widow,27421.0,12-12-2012,14,43,96,4
3310,1973,2n Cycle,Married,35688.0,22-08-2012,94,73,90,4
2724,1981,Master,Single,36143.0,30-03-2014,33,12,1,0
948,1971,Graduation,Single,10245.0,15-05-2013,32,4,7,1
6720,1968,Master,Together,43795.0,16-10-2013,11,314,53,7
6202,1960,Graduation,Together,63381.0,05-10-2012,78,571,142,4
2066,1949,Graduation,Together,38823.0,30-08-2012,56,70,11,2
9799,1968,PhD,Divorced,83664.0,08-05-2013,57,866,151,2
8318,1979,Graduation,Together,90300.0,03-01-2014,7,594,786,5
5642,1979,Master,Together,62499.0,09-12-2013,0,140,61,3
2669,1993,Graduation,Single,74293.0,04-05-2014,66,375,335,5
455,1946,PhD,Married,51012.0,18-04-2013,86,102,63,4
7683,1968,Master,Married,70777.0,25-02-2014,80,554,113,5
3428,1991,PhD,Together,68682.0,06-10-2013,56,919,505,4
7414,1971,Graduation,Married,43824.0,15-09-2012,18,96,42,3
6354,1984,Graduation,Together,15345.0,31-08-2012,51,5,16,1
798,1987,Graduation,Single,23442.0,24-12-2012,71,2,6,1
8213,1980,2n Cycle,Together,14515.0,09-11-2012,71,6,9,2
2488,1956,2n Cycle,Divorced,31395.0,23-03-2013,80,23,25,2
9999,1965,Graduation,Together,75276.0,27-09-2012,2,610,125,9
7617,1974,Graduation,Single,42373.0,15-08-2013,83,67,61,2
615,1960,Graduation,Together,30507.0,11-03-2013,29,65,74,5
2552,1955,PhD,Single,55521.0,22-10-2013,11,416,26,6
194,1965,Graduation,Married,48006.0,09-06-2014,55,23,11,1
3645,1972,PhD,Single,27213.0,30-08-2012,19,19,26,2
8890,1971,PhD,Divorced,65808.0,30-05-2014,1,155,80,5
5049,1974,PhD,Together,30351.0,06-06-2013,19,14,24,3
9973,1963,Graduation,Married,50437.0,17-10-2012,28,370,92,7
7301,1982,2n Cycle,Single,23616.0,17-11-2012,76,4,11,3
10882,1976,Graduation,Married,53858.0,09-11-2012,50,407,221,4
